# OCRT default chlorophyll-a-specific phytoplankton absorption coefficient.
# Physical quantity: a_ph_star(lambda) = a_ph(lambda) / TChl-a [m2 mg-1 Chl-a].
# Runtime equation: a_ph(lambda) [m-1] = a_ph_star(lambda) [m2 mg-1] * TChl-a [mg m-3].
# Therefore, at TChl-a=1 mg m-3, a_ph is numerically equal to this table.
# This is whole-cell phytoplankton pigment absorption normalized by TChl-a, not pure molecular chlorophyll-a absorption.
# OCRT naming note: legacy labels a_chla_star/a_chl mean a_ph_star/a_ph; they do not isolate molecular Chl-a.
# Source: Lomas et al. (2024), Scientific Data 11:168, DOI 10.1038/s41597-024-03001-z; Dryad DOI 10.5061/dryad.rbnzs7hfg.
# Frozen PLOPS-derived source table: 300-800 nm in phyto_absorption_plops2024_class_balanced_300_800_1nm_smoothed.csv.
# Runtime source-derived segment: 330-750 nm inclusive.
# Representative construction: 34 screened cultures; median within 6 taxonomic classes; median across classes.
# Smoothing: 5-point centered moving average on a 1-nm grid, reflected endpoint padding.
# Project closure: a_ph_star is linearly tapered from its 750-nm value (2.2351120859219934e-05) to exact zero at 800 nm.
# Taper equation for 750<=lambda<=800 nm: a_ph_star(lambda)=a_ph_star(750)+(-4.4702241718439867e-07)*(lambda-750).
# All values from 800 through 1100 nm are explicit exact zeros.
# The 751-800 nm taper and 800-1100 nm zero segment are OCRT project decisions, not PLOPS measurements.
# Runtime policy: generic in-range linear interpolation only; no Chl-specific wavelength branch or endpoint clamp.
# Column 2 unit: m2 mg-1 Chl-a. Rows are strictly increasing in wavelength.
# wavelength_nm,a_ph_star_m2_per_mg_chla
457,1.716947778237e-02
458,1.714936348861e-02
459,1.713408251026e-02
460,1.709766713582e-02
461,1.705046603455e-02
462,1.699165650088e-02
463,1.693024655304e-02
464,1.684495434212e-02
465,1.679396833335e-02
466,1.675474886675e-02
467,1.673285282414e-02
468,1.671198860099e-02
469,1.669632311405e-02
470,1.665197565609e-02
471,1.658402021057e-02
472,1.648227762934e-02
473,1.637277015476e-02
474,1.623905944022e-02
475,1.608644697019e-02
476,1.592409053459e-02
477,1.575296393937e-02
478,1.556941704235e-02
479,1.538096283150e-02
480,1.520479662582e-02
481,1.503213416875e-02
482,1.486584837533e-02
483,1.471244729780e-02
484,1.456704351520e-02
485,1.442848432098e-02
486,1.429021992377e-02
487,1.416753377468e-02
488,1.403636477444e-02
489,1.390231731866e-02
490,1.376382013120e-02
491,1.361714464302e-02
492,1.345237222711e-02
493,1.327035665850e-02
494,1.308448742634e-02
495,1.288522520860e-02
496,1.269496858429e-02
497,1.251483961837e-02
498,1.233489926348e-02
499,1.216249218790e-02
500,1.200953157666e-02
501,1.184711852232e-02
502,1.167264635083e-02
503,1.151725007930e-02
504,1.134827414239e-02
505,1.115029765656e-02
506,1.095067946774e-02
507,1.073766161272e-02
508,1.050447592017e-02
509,1.026519804281e-02
510,1.003070420948e-02
511,9.780915358179e-03
512,9.540839947109e-03
513,9.300358255437e-03
514,9.077299355558e-03
515,8.849433497336e-03
516,8.631298827832e-03
517,8.442233129460e-03
518,8.286711045115e-03
519,8.146210363250e-03
520,8.038006625666e-03
521,7.952960471953e-03
522,7.867795234845e-03
523,7.782058769012e-03
524,7.701505372294e-03
525,7.620618301342e-03
526,7.554077011449e-03
527,7.480452770462e-03
528,7.405954659537e-03
529,7.334929724894e-03
530,7.261307456485e-03
531,7.178874938445e-03
532,7.102294221217e-03
533,7.026492946480e-03
534,6.938997206693e-03
535,6.850031065881e-03
536,6.755554406778e-03
537,6.662085342489e-03
538,6.553173794291e-03
539,6.450458764973e-03
540,6.342848940432e-03
541,6.232133236422e-03
542,6.115537098013e-03
543,6.017860525053e-03
544,5.937207142374e-03
545,5.884150805202e-03
546,5.829472279365e-03
547,5.808565951386e-03
548,5.783829179304e-03
549,5.764148792598e-03
550,5.736497413791e-03
551,5.700161458540e-03
552,5.621044704200e-03
553,5.529017538772e-03
554,5.394293588421e-03
555,5.235714394393e-03
556,5.079728793961e-03
557,4.929430074747e-03
558,4.777602154104e-03
559,4.635813645069e-03
560,4.507691684032e-03
561,4.386797715146e-03
562,4.273575768851e-03
563,4.169531927394e-03
564,4.073437198654e-03
565,3.987690531039e-03
566,3.913301029012e-03
567,3.848695503942e-03
568,3.784892398971e-03
569,3.736987678624e-03
570,3.697213462029e-03
571,3.658320310652e-03
572,3.628411448118e-03
573,3.616555905939e-03
574,3.612304074270e-03
575,3.607074933391e-03
576,3.614186047837e-03
577,3.622596499472e-03
578,3.640201007289e-03
579,3.667297683273e-03
580,3.697058561220e-03
581,3.744727506716e-03
582,3.795309997664e-03
583,3.849553860399e-03
584,3.895510109902e-03
585,3.946036069856e-03
586,3.989076939198e-03
587,4.031043633272e-03
588,4.064426414136e-03
589,4.099460344431e-03
590,4.128201519563e-03
591,4.147512985380e-03
592,4.157166704228e-03
593,4.169362112421e-03
594,4.170737026531e-03
595,4.157499426332e-03
596,4.142316145148e-03
597,4.123783621765e-03
598,4.095600576685e-03
599,4.067174297964e-03
600,4.042578359571e-03
601,4.016936708707e-03
602,3.996134736425e-03
603,3.982626090698e-03
604,3.973486636478e-03
605,3.977981479468e-03
606,3.991654743318e-03
607,4.014545585002e-03
608,4.044011180007e-03
609,4.090250556671e-03
610,4.137198016893e-03
611,4.191324815793e-03
612,4.258730624453e-03
613,4.322712993907e-03
614,4.378762370431e-03
615,4.443652698348e-03
616,4.501314323836e-03
617,4.543547516240e-03
618,4.595041078455e-03
619,4.644590288083e-03
620,4.682891814855e-03
621,4.725507291795e-03
622,4.762009628268e-03
623,4.792091931421e-03
624,4.817106705318e-03
625,4.840698526003e-03
626,4.861870689299e-03
627,4.894427585252e-03
628,4.914565987552e-03
629,4.953670757938e-03
630,5.004517652811e-03
631,5.048743988760e-03
632,5.087664242601e-03
633,5.146501664061e-03
634,5.197069340275e-03
635,5.246089628679e-03
636,5.310342315943e-03
637,5.383377864827e-03
638,5.464322598064e-03
639,5.528226540340e-03
640,5.566069852451e-03
641,5.584282202684e-03
642,5.580195385033e-03
643,5.543223170990e-03
644,5.503489747208e-03
645,5.468909287265e-03
646,5.421025570227e-03
647,5.381324437258e-03
648,5.346283304098e-03
649,5.331497034875e-03
650,5.342811755233e-03
651,5.376576982854e-03
652,5.431837991668e-03
653,5.522919809245e-03
654,5.651021275380e-03
655,5.826724359366e-03
656,6.070308173920e-03
657,6.380054284873e-03
658,6.768399790223e-03
659,7.207156597608e-03
660,7.659734170391e-03
661,8.113295665467e-03
662,8.570149812591e-03
663,9.008200990906e-03
664,9.456610916048e-03
665,9.925894336703e-03
666,1.043821532172e-02
667,1.094670386617e-02
668,1.144645569907e-02
669,1.189646614880e-02
670,1.228716302440e-02
671,1.258792691626e-02
672,1.280304729005e-02
673,1.293253790704e-02
674,1.297004738201e-02
675,1.294022620190e-02
676,1.285383017701e-02
677,1.272682266904e-02
678,1.253900680505e-02
679,1.231410286458e-02
680,1.201526868254e-02
681,1.162166904935e-02
682,1.114422784217e-02
683,1.058284190629e-02
684,9.927972268123e-03
685,9.185868086102e-03
686,8.411661862012e-03
687,7.616567374580e-03
688,6.833657812524e-03
689,6.082473873399e-03
690,5.392971475501e-03
691,4.738879832722e-03
692,4.128830523763e-03
693,3.571823076260e-03
694,3.090578962130e-03
695,2.658269059943e-03
696,2.275933902190e-03
697,1.971034210261e-03
698,1.702912490571e-03
699,1.439154807352e-03
700,1.243988887494e-03
701,1.098429781066e-03
702,9.471540332171e-04
703,8.184071261717e-04
704,7.257709501118e-04
705,6.261476902617e-04
706,5.368048110305e-04
707,4.686985346045e-04
708,4.152503913672e-04
709,3.699218482107e-04
710,3.378303254039e-04
711,3.129609588522e-04
712,2.802053112151e-04
713,2.559577561936e-04
714,2.321022501980e-04
715,2.072607768077e-04
716,1.832083120711e-04
717,1.679574625399e-04
718,1.471653953112e-04
719,1.292166696107e-04
720,1.169115333952e-04
721,1.001308647000e-04
722,9.131595652055e-05
723,8.697416234732e-05
724,8.213800102174e-05
725,7.544291768774e-05
726,7.136460319470e-05
727,6.538701411893e-05
728,6.199235280195e-05
729,5.716481430723e-05
730,5.271659878524e-05
731,5.354520185970e-05
732,5.300949432091e-05
733,5.092360975995e-05
734,4.653175905977e-05
735,4.927064009259e-05
736,5.075466671056e-05
737,5.193043819458e-05
738,5.384789837966e-05
739,5.936631142396e-05
740,5.570740120335e-05
741,4.922520442126e-05
742,4.434093158388e-05
743,4.149548340147e-05
744,4.044022813665e-05
745,3.888164491447e-05
746,3.604559108739e-05
747,3.693635781256e-05
748,3.358499487607e-05
749,2.727650065141e-05
750,2.235112085922e-05
751,2.190409844204e-05
752,2.145707602485e-05
753,2.101005360767e-05
754,2.056303119048e-05
755,2.011600877330e-05
756,1.966898635611e-05
757,1.922196393893e-05
758,1.877494152174e-05
759,1.832791910456e-05
760,1.788089668738e-05
761,1.743387427019e-05
762,1.698685185301e-05
763,1.653982943582e-05
764,1.609280701864e-05
765,1.564578460145e-05
766,1.519876218427e-05
767,1.475173976709e-05
768,1.430471734990e-05
769,1.385769493272e-05
770,1.341067251553e-05
771,1.296365009835e-05
772,1.251662768116e-05
773,1.206960526398e-05
774,1.162258284679e-05
775,1.117556042961e-05
776,1.072853801243e-05
777,1.028151559524e-05
778,9.834493178057e-06
779,9.387470760872e-06
780,8.940448343688e-06
781,8.493425926504e-06
782,8.046403509319e-06
783,7.599381092135e-06
784,7.152358674950e-06
785,6.705336257766e-06
786,6.258313840582e-06
787,5.811291423397e-06
788,5.364269006213e-06
789,4.917246589028e-06
790,4.470224171844e-06
791,4.023201754660e-06
792,3.576179337475e-06
793,3.129156920291e-06
794,2.682134503106e-06
795,2.235112085922e-06
796,1.788089668738e-06
797,1.341067251553e-06
798,8.940448343688e-07
799,4.470224171844e-07
800,0.000000000000e+00
801,0.000000000000e+00
802,0.000000000000e+00
803,0.000000000000e+00
804,0.000000000000e+00
805,0.000000000000e+00
806,0.000000000000e+00
807,0.000000000000e+00
808,0.000000000000e+00
809,0.000000000000e+00
810,0.000000000000e+00
811,0.000000000000e+00
812,0.000000000000e+00
813,0.000000000000e+00
814,0.000000000000e+00
815,0.000000000000e+00
816,0.000000000000e+00
817,0.000000000000e+00
818,0.000000000000e+00
819,0.000000000000e+00
820,0.000000000000e+00
821,0.000000000000e+00
822,0.000000000000e+00
823,0.000000000000e+00
824,0.000000000000e+00
825,0.000000000000e+00
826,0.000000000000e+00
827,0.000000000000e+00
828,0.000000000000e+00
829,0.000000000000e+00
830,0.000000000000e+00
831,0.000000000000e+00
832,0.000000000000e+00
833,0.000000000000e+00
834,0.000000000000e+00
835,0.000000000000e+00
836,0.000000000000e+00
837,0.000000000000e+00
838,0.000000000000e+00
839,0.000000000000e+00
840,0.000000000000e+00
841,0.000000000000e+00
842,0.000000000000e+00
843,0.000000000000e+00
844,0.000000000000e+00
845,0.000000000000e+00
846,0.000000000000e+00
847,0.000000000000e+00
848,0.000000000000e+00
849,0.000000000000e+00
850,0.000000000000e+00
851,0.000000000000e+00
852,0.000000000000e+00
853,0.000000000000e+00
854,0.000000000000e+00
855,0.000000000000e+00
856,0.000000000000e+00
857,0.000000000000e+00
858,0.000000000000e+00
859,0.000000000000e+00
860,0.000000000000e+00
861,0.000000000000e+00
862,0.000000000000e+00
863,0.000000000000e+00
864,0.000000000000e+00
865,0.000000000000e+00
866,0.000000000000e+00
867,0.000000000000e+00
868,0.000000000000e+00
869,0.000000000000e+00
870,0.000000000000e+00
871,0.000000000000e+00
872,0.000000000000e+00
873,0.000000000000e+00
874,0.000000000000e+00
875,0.000000000000e+00
876,0.000000000000e+00
877,0.000000000000e+00
878,0.000000000000e+00
879,0.000000000000e+00
880,0.000000000000e+00
881,0.000000000000e+00
882,0.000000000000e+00
883,0.000000000000e+00
884,0.000000000000e+00
885,0.000000000000e+00
886,0.000000000000e+00
887,0.000000000000e+00
888,0.000000000000e+00
889,0.000000000000e+00
890,0.000000000000e+00
891,0.000000000000e+00
892,0.000000000000e+00
893,0.000000000000e+00
894,0.000000000000e+00
895,0.000000000000e+00
896,0.000000000000e+00
897,0.000000000000e+00
898,0.000000000000e+00
899,0.000000000000e+00
900,0.000000000000e+00
901,0.000000000000e+00
902,0.000000000000e+00
903,0.000000000000e+00
904,0.000000000000e+00
905,0.000000000000e+00
906,0.000000000000e+00
907,0.000000000000e+00
908,0.000000000000e+00
909,0.000000000000e+00
910,0.000000000000e+00
911,0.000000000000e+00
912,0.000000000000e+00
913,0.000000000000e+00
914,0.000000000000e+00
915,0.000000000000e+00
916,0.000000000000e+00
917,0.000000000000e+00
918,0.000000000000e+00
919,0.000000000000e+00
920,0.000000000000e+00
921,0.000000000000e+00
922,0.000000000000e+00
923,0.000000000000e+00
924,0.000000000000e+00
925,0.000000000000e+00
926,0.000000000000e+00
927,0.000000000000e+00
928,0.000000000000e+00
929,0.000000000000e+00
930,0.000000000000e+00
931,0.000000000000e+00
932,0.000000000000e+00
933,0.000000000000e+00
934,0.000000000000e+00
935,0.000000000000e+00
936,0.000000000000e+00
937,0.000000000000e+00
938,0.000000000000e+00
939,0.000000000000e+00
940,0.000000000000e+00
941,0.000000000000e+00
942,0.000000000000e+00
943,0.000000000000e+00
944,0.000000000000e+00
945,0.000000000000e+00
946,0.000000000000e+00
947,0.000000000000e+00
948,0.000000000000e+00
949,0.000000000000e+00
950,0.000000000000e+00
951,0.000000000000e+00
952,0.000000000000e+00
953,0.000000000000e+00
954,0.000000000000e+00
955,0.000000000000e+00
956,0.000000000000e+00
957,0.000000000000e+00
958,0.000000000000e+00
959,0.000000000000e+00
960,0.000000000000e+00
961,0.000000000000e+00
962,0.000000000000e+00
963,0.000000000000e+00
964,0.000000000000e+00
965,0.000000000000e+00
966,0.000000000000e+00
967,0.000000000000e+00
968,0.000000000000e+00
969,0.000000000000e+00
970,0.000000000000e+00
971,0.000000000000e+00
972,0.000000000000e+00
973,0.000000000000e+00
974,0.000000000000e+00
975,0.000000000000e+00
976,0.000000000000e+00
977,0.000000000000e+00
978,0.000000000000e+00
979,0.000000000000e+00
980,0.000000000000e+00
981,0.000000000000e+00
982,0.000000000000e+00
983,0.000000000000e+00
984,0.000000000000e+00
985,0.000000000000e+00
986,0.000000000000e+00
987,0.000000000000e+00
988,0.000000000000e+00
989,0.000000000000e+00
990,0.000000000000e+00
991,0.000000000000e+00
992,0.000000000000e+00
993,0.000000000000e+00
994,0.000000000000e+00
995,0.000000000000e+00
996,0.000000000000e+00
997,0.000000000000e+00
998,0.000000000000e+00
999,0.000000000000e+00
1000,0.000000000000e+00
1001,0.000000000000e+00
1002,0.000000000000e+00
1003,0.000000000000e+00
1004,0.000000000000e+00
1005,0.000000000000e+00
1006,0.000000000000e+00
1007,0.000000000000e+00
1008,0.000000000000e+00
1009,0.000000000000e+00
1010,0.000000000000e+00
1011,0.000000000000e+00
1012,0.000000000000e+00
1013,0.000000000000e+00
1014,0.000000000000e+00
1015,0.000000000000e+00
1016,0.000000000000e+00
1017,0.000000000000e+00
1018,0.000000000000e+00
1019,0.000000000000e+00
1020,0.000000000000e+00
1021,0.000000000000e+00
1022,0.000000000000e+00
1023,0.000000000000e+00
1024,0.000000000000e+00
1025,0.000000000000e+00
1026,0.000000000000e+00
1027,0.000000000000e+00
1028,0.000000000000e+00
1029,0.000000000000e+00
1030,0.000000000000e+00
1031,0.000000000000e+00
1032,0.000000000000e+00
1033,0.000000000000e+00
1034,0.000000000000e+00
1035,0.000000000000e+00
1036,0.000000000000e+00
1037,0.000000000000e+00
1038,0.000000000000e+00
1039,0.000000000000e+00
1040,0.000000000000e+00
1041,0.000000000000e+00
1042,0.000000000000e+00
1043,0.000000000000e+00
1044,0.000000000000e+00
1045,0.000000000000e+00
1046,0.000000000000e+00
1047,0.000000000000e+00
1048,0.000000000000e+00
1049,0.000000000000e+00
1050,0.000000000000e+00
1051,0.000000000000e+00
1052,0.000000000000e+00
1053,0.000000000000e+00
1054,0.000000000000e+00
1055,0.000000000000e+00
1056,0.000000000000e+00
1057,0.000000000000e+00
1058,0.000000000000e+00
1059,0.000000000000e+00
1060,0.000000000000e+00
1061,0.000000000000e+00
1062,0.000000000000e+00
1063,0.000000000000e+00
1064,0.000000000000e+00
1065,0.000000000000e+00
1066,0.000000000000e+00
1067,0.000000000000e+00
1068,0.000000000000e+00
1069,0.000000000000e+00
1070,0.000000000000e+00
1071,0.000000000000e+00
1072,0.000000000000e+00
1073,0.000000000000e+00
1074,0.000000000000e+00
1075,0.000000000000e+00
1076,0.000000000000e+00
1077,0.000000000000e+00
1078,0.000000000000e+00
1079,0.000000000000e+00
1080,0.000000000000e+00
1081,0.000000000000e+00
1082,0.000000000000e+00
1083,0.000000000000e+00
1084,0.000000000000e+00
1085,0.000000000000e+00
1086,0.000000000000e+00
1087,0.000000000000e+00
1088,0.000000000000e+00
1089,0.000000000000e+00
1090,0.000000000000e+00
1091,0.000000000000e+00
1092,0.000000000000e+00
1093,0.000000000000e+00
1094,0.000000000000e+00
1095,0.000000000000e+00
1096,0.000000000000e+00
1097,0.000000000000e+00
1098,0.000000000000e+00
1099,0.000000000000e+00
1100,0.000000000000e+00
