case_id,TSM_g_m3,Chl_mg_m3,aCDOM440_m_inv
G0106,0.60402,0.65296,0.029198
G0107,0.12696,0.29210,0.012476
G0108,5.34321,1.28473,0.030743
G0109,5.21215,1.67130,0.026395
G0110,4.68101,1.15540,0.039845
G0111,0.69564,0.72626,0.043580
G0112,0.26296,0.28834,0.026219
G0113,2.97942,0.75308,0.035533
G0114,2.47623,1.09094,0.027018
G0115,1.85004,1.55670,0.031466
G0116,5.67334,3.50293,0.075434
G0117,6.67410,2.73553,0.069231
G0118,3.10349,1.08731,0.045842
G0119,1.05934,0.55153,0.025834
G0120,0.26448,0.31676,0.019049
G0121,2.15331,0.92937,0.040757
G0122,1.68363,0.67316,0.036759
G0123,0.96421,0.16918,0.016549
G0124,3.36380,1.48389,0.045556
G0125,0.10184,0.20957,0.013984
G0126,1.25976,0.26300,0.020962
G0127,0.93058,0.90824,0.022817
G0128,3.12385,0.36913,0.032401
G0129,0.34008,0.15791,0.011914
G0130,0.99263,0.94193,0.040594
G0131,1.35634,0.77101,0.043626
G0132,4.36189,1.84410,0.056754
G0133,0.54325,0.40686,0.029223
G0134,9.57465,1.18987,0.064055
G0135,1.95723,1.08338,0.044570
G0136,2.72988,1.31079,0.021205
G0137,4.85642,3.85236,0.074633
G0138,1.93222,1.07573,0.029173
G0139,1.32007,1.17711,0.041002
G0140,1.69230,1.30759,0.025970
G0141,4.73412,2.26064,0.047519
G0142,0.26783,0.23483,0.013504
G0143,0.56709,0.15992,0.027540
G0144,11.29716,2.00850,0.055094
G0145,1.68550,0.55467,0.033814
G0146,2.98440,1.28381,0.049963
G0147,1.06049,0.32359,0.032746
G0148,0.73855,0.75428,0.015404
G0149,1.06071,0.66779,0.034349
G0150,5.42555,2.45933,0.056360
G0151,0.82164,0.28484,0.022548
G0152,0.69898,0.29095,0.018567
G0153,11.13555,2.13917,0.070052
G0154,1.95081,0.99445,0.025026
G0155,4.39485,2.21991,0.059374
G0156,1.08954,0.41523,0.020198
G0157,0.94895,0.64177,0.027052
G0158,0.95874,0.54751,0.026182
G0159,6.99960,1.16797,0.072548
G0160,1.24745,0.49274,0.020924
G0161,1.72532,0.65015,0.033850
G0162,1.13481,0.39454,0.016390
G0163,10.71072,1.51840,0.073101
G0164,4.11502,1.80436,0.046209
G0165,6.04627,1.32068,0.054748
G0166,2.33605,0.58749,0.048857
G0167,7.61113,4.49614,0.057447
G0168,1.27121,0.87499,0.063075
G0169,4.20123,0.93981,0.027634
G0170,0.18067,0.10561,0.026153
G0171,1.51507,0.57871,0.019098
G0172,6.31294,2.17291,0.053416
G0173,0.78222,0.47818,0.027190
G0174,0.28146,0.16663,0.019742
G0175,13.05345,3.15571,0.095705
G0176,2.53953,0.82014,0.048476
G0177,0.33757,0.53361,0.021239
G0178,3.42439,1.86003,0.039398
G0179,2.66478,1.07123,0.036763
G0180,1.96983,1.36772,0.023473
G0181,3.62947,0.68593,0.027381
G0182,0.19584,0.26202,0.017619
G0183,1.09253,0.81786,0.037154
G0184,2.48156,1.76815,0.077637
G0185,1.36107,0.39892,0.027502
G0186,2.67499,1.63667,0.037478
G0187,0.61856,0.17619,0.014419
G0188,0.91123,0.68344,0.025692
G0189,0.46446,0.37567,0.020788
G0190,0.38445,0.87410,0.024144
G0191,0.34901,0.32771,0.027632
G0192,2.05274,0.79778,0.036711
G0193,0.97194,0.85509,0.021754
G0194,1.14348,0.81381,0.022933
G0195,0.53416,0.71142,0.023310
G0196,0.35096,0.45211,0.022192
G0197,1.83395,0.67660,0.034400
G0198,0.80104,0.37586,0.021437
G0199,0.99053,0.48246,0.015509
G0200,0.62712,0.36391,0.027416
G0201,0.14228,0.13389,0.013982
G0202,0.90077,1.87420,0.038873
G0203,0.51563,0.70706,0.040026
G0204,3.02904,0.70994,0.063329
G0205,1.10548,0.43603,0.025306
G0206,0.28169,0.51791,0.027879
G0207,0.50770,0.18965,0.011850
G0208,1.87353,0.68545,0.037158
G0209,0.97709,0.79414,0.021638
G0210,0.31581,0.41574,0.016868
G0211,0.65836,0.86277,0.025671
G0212,0.29353,0.34292,0.020826
G0213,4.17494,1.68529,0.051521
G0214,2.86574,0.60810,0.052766
G0215,10.83861,4.11760,0.056127
G0216,1.29661,0.87739,0.036209
G0217,11.57119,2.30794,0.058752
G0218,0.65760,0.76492,0.019207
G0219,3.25088,1.06523,0.043730
G0220,2.41203,1.15575,0.051279
G0221,14.82205,1.74443,0.034182
G0222,0.76051,0.48486,0.015258
G0223,0.23637,0.58035,0.023365
G0224,1.32297,0.75190,0.031051
G0225,2.27707,0.98907,0.039056
G0226,0.55936,0.53733,0.025647
G0227,0.14105,0.14404,0.018224
G0228,2.94151,0.53399,0.041728
G0229,2.43922,1.05675,0.033456
G0230,0.43620,0.31422,0.023403
G0231,0.32405,0.43867,0.021620
G0232,0.32618,0.27372,0.018515
G0233,6.79740,1.22754,0.028199
G0234,5.85544,4.46384,0.053270
G0235,17.39535,3.68954,0.052874
G0236,1.83399,1.07639,0.033456
G0237,15.51234,3.55711,0.051280
G0238,1.23716,0.60582,0.031171
G0239,0.84518,0.33860,0.036543
G0240,3.46479,1.54284,0.046909
G0241,0.34847,0.33703,0.036598
G0242,0.76936,0.45584,0.024055
G0243,0.56888,0.34886,0.023246
G0244,0.59757,0.53037,0.039150
G0245,1.03491,0.43101,0.040913
G0246,0.89806,0.20795,0.013078
G0247,1.39664,0.41927,0.034044
G0248,2.60405,0.86599,0.033033
G0249,0.86155,0.32671,0.013957
G0250,11.13667,2.42036,0.054807
G0251,1.75659,0.66399,0.030941
G0252,1.18699,0.74031,0.029466
G0253,0.21068,0.37489,0.023347
G0254,4.96429,3.76722,0.041198
G0255,0.80005,0.49755,0.017028
G0256,0.81876,1.17680,0.022947
G0257,0.50479,0.19864,0.014587
G0258,3.17043,3.01142,0.043185
G0259,1.61811,0.69216,0.032920
G0260,0.12083,0.10279,0.012372
G0261,0.68274,0.26875,0.043461
G0262,9.18154,2.01303,0.085886
G0263,1.21193,0.90556,0.032594
G0264,0.21686,0.12901,0.021711
G0265,0.85200,0.24786,0.011040
G0266,4.77299,0.26151,0.047302
G0267,0.71260,0.23819,0.029383
G0268,6.57800,2.99466,0.080699
G0269,1.99433,2.05434,0.031343
G0270,6.08635,2.41200,0.045524
G0271,0.24658,0.27960,0.011672
G0272,8.48949,3.29370,0.071028
G0273,3.36831,1.16865,0.042527
G0274,1.28755,0.39625,0.045277
G0275,1.01945,0.26623,0.021075
G0276,2.93031,0.93356,0.042516
G0277,3.86880,1.52977,0.084195
G0278,18.21357,4.57617,0.077377
G0279,0.87109,1.58777,0.046293
G0280,2.87293,0.81678,0.034738
G0281,1.52911,0.35064,0.032410
G0282,3.76923,2.80843,0.048788
G0283,0.51306,0.36746,0.017678
G0284,4.42841,2.05350,0.041845
G0285,3.09438,0.60700,0.026808
G0286,0.97715,0.44639,0.023923
G0287,0.57610,0.68591,0.027460
G0288,1.28769,0.24196,0.013778
G0289,0.39258,0.19562,0.019193
G0290,0.50121,0.39160,0.023177
G0291,6.76293,1.27364,0.082447
G0292,0.60535,0.37220,0.013046
G0293,0.85337,0.28276,0.028206
G0294,1.18632,0.44471,0.033512
G0295,0.46290,0.55054,0.034486
G0296,0.27358,0.31328,0.024626
G0297,18.91289,3.56188,0.050643
G0298,0.81147,0.40527,0.017536
G0299,0.79432,0.35057,0.051575
G0300,2.65930,2.26197,0.030747
G0301,0.84408,0.46286,0.021306
G0302,2.22217,0.87055,0.028208
G0303,2.35496,0.48479,0.024306
G0304,7.71785,3.66527,0.069594
G0305,1.18211,0.69490,0.017681
G0306,4.51002,2.60988,0.066103
G0307,0.28264,0.89863,0.027250
G0308,3.89991,1.87815,0.055670
G0309,0.39273,0.32531,0.015894
G0310,1.66341,0.98823,0.038950
G0311,1.55176,0.41732,0.029312
G0312,2.58804,0.69675,0.044962
G0313,4.93745,1.11728,0.025159
G0314,5.35783,1.61988,0.052964
G0315,3.92339,2.29678,0.071167
G0316,0.34517,0.17196,0.012232
G0317,0.75100,0.72346,0.030659
G0318,0.67439,0.32211,0.037776
G0319,2.50184,1.45680,0.051214
G0320,4.89829,0.95900,0.037623
G0321,6.53117,1.31647,0.030604
G0322,0.80086,0.63630,0.025301
G0323,1.32949,0.80109,0.033121
G0324,2.47382,0.55465,0.031026
G0325,2.61432,1.44194,0.027480
G0326,0.28420,0.34510,0.015551
G0327,0.39514,0.20094,0.014560
G0328,0.77871,0.50584,0.027833
G0329,0.54350,0.28423,0.018035
G0330,5.59114,2.02472,0.048260
G0331,0.21283,0.13728,0.012754
G0332,1.25076,0.29264,0.019047
G0333,0.49626,0.31833,0.038437
G0334,2.35101,0.98033,0.033331
G0335,2.22195,1.10240,0.030009
G0336,1.77636,0.80496,0.061758
G0337,1.73067,1.38968,0.040559
G0338,0.47045,0.29366,0.025333
G0339,0.17871,0.18399,0.016649
G0340,0.56747,1.10947,0.033849
G0341,8.58432,0.65614,0.058326
G0342,1.03476,2.23587,0.031391
G0343,1.29681,0.60872,0.018638
G0344,0.78637,0.49851,0.033305
G0345,6.74774,1.49001,0.049541
G0346,1.15812,0.38612,0.044338
G0347,1.43513,0.95489,0.026058
G0348,0.63938,0.49276,0.025903
G0349,2.78862,3.25081,0.043656
G0350,0.40819,0.42177,0.028355
G0351,1.35583,0.27576,0.023598
G0352,0.39060,0.57105,0.030367
G0353,0.83196,0.31804,0.020940
G0354,3.97540,1.09123,0.038262
G0355,1.29654,0.41779,0.016948
G0356,0.95848,0.62721,0.028504
G0357,1.44888,1.21734,0.045332
G0358,1.40440,0.71829,0.022078
G0359,3.30774,1.15433,0.045028
G0360,3.50767,1.50643,0.050870
G0361,6.06768,1.31789,0.058322
G0362,1.49750,0.90188,0.025035
G0363,5.48484,1.35050,0.045533
G0364,0.32415,0.34024,0.025969
G0365,0.40612,0.23994,0.010436
G0366,1.13926,0.42058,0.021645
G0367,12.78132,1.20356,0.074246
G0368,3.21106,1.09270,0.049702
G0369,4.45122,1.23798,0.048170
G0370,0.79722,0.36286,0.024666
G0371,3.79437,0.51895,0.022232
G0372,0.14265,0.15159,0.013769
G0373,2.98783,0.90472,0.062726
G0374,3.99658,1.03236,0.060665
G0375,0.17605,0.17279,0.022437
G0376,2.55929,0.87909,0.015256
G0377,2.85674,1.10581,0.067121
G0378,1.81808,0.61925,0.020608
G0379,0.39345,0.36547,0.034776
G0380,5.90852,3.28008,0.063803
G0381,2.29522,2.21548,0.030200
G0382,0.79621,0.67156,0.042334
G0383,4.81801,0.61532,0.031512
G0384,1.28572,0.47349,0.026394
G0385,17.21069,2.65535,0.059886
G0386,0.20969,0.13793,0.017730
G0387,0.80197,0.43856,0.018695
G0388,0.88355,0.33508,0.054441
G0389,1.31625,1.39499,0.026182
G0390,1.10784,0.46845,0.028478
G0391,1.07254,0.71060,0.022287
G0392,0.28797,0.26897,0.016819
G0393,6.48037,2.24216,0.050964
G0394,1.02670,0.34845,0.024893
G0395,2.18064,0.84978,0.029072
G0396,16.95963,3.41779,0.080844
G0397,0.31670,0.31387,0.022375
G0398,1.30398,0.23377,0.032130
G0399,0.38061,0.38259,0.026056
G0400,0.61094,0.64434,0.032062
G0401,7.84638,2.98636,0.067164
G0402,6.10982,1.33929,0.067655
G0403,1.23553,0.52896,0.028799
G0404,13.49466,3.56809,0.073988
G0405,0.91303,0.31127,0.028687
G0406,2.91013,0.62251,0.029473
G0407,0.10670,0.14450,0.019109
G0408,0.85533,0.53144,0.056249
G0409,0.57972,0.43132,0.023584
G0410,0.22585,0.15615,0.018072
G0411,4.21417,2.60216,0.056236
G0412,1.24145,1.09070,0.023495
G0413,3.71065,1.00360,0.088246
G0414,3.12028,1.24520,0.055573
G0415,5.89943,3.67144,0.079937
G0416,0.89134,0.63885,0.018707
G0417,0.72839,0.40984,0.032704
G0418,0.66486,0.41076,0.028193
G0419,4.66589,3.20254,0.038562
G0420,2.52639,1.11942,0.012981
G0421,9.71140,3.30605,0.075331
G0422,0.97040,0.38148,0.030496
G0423,17.75292,3.29534,0.092067
G0424,0.33290,0.25872,0.020964
G0425,1.08720,0.98270,0.060530
G0426,3.35947,2.47154,0.055341
G0427,0.63676,0.36765,0.026185
G0428,0.96178,0.37278,0.031431
G0429,4.94325,0.70150,0.029752
G0430,0.39390,0.31981,0.016467
G0431,2.63498,0.94826,0.040880
G0432,7.11252,3.75233,0.038290
G0433,1.17217,0.54484,0.021121
G0434,0.58953,0.63828,0.038529
G0435,7.31314,1.72513,0.075144
G0436,2.51071,0.77377,0.049722
G0437,4.93359,1.69252,0.073105
G0438,2.09113,0.67685,0.034440
G0439,6.12063,0.88717,0.049552
G0440,2.56005,0.77658,0.046786
G0441,3.48769,2.37509,0.052681
G0442,0.33796,0.20240,0.014896
G0443,0.26583,0.58642,0.026415
G0444,1.16042,0.59674,0.018120
G0445,10.05132,2.32776,0.095630
G0446,1.14582,0.54115,0.027984
G0447,0.11933,0.16963,0.010095
G0448,0.99736,0.73184,0.027110
G0449,2.74449,0.75086,0.098785
G0450,0.20058,0.35735,0.013872
G0451,1.54135,1.44180,0.038883
G0452,5.97706,3.21690,0.072364
G0453,1.28416,0.32725,0.026967
G0454,0.48958,0.40957,0.026223
G0455,2.04624,1.09329,0.049020
G0456,0.61242,0.45261,0.014535
G0457,1.77577,0.39329,0.040494
G0458,0.41310,0.64379,0.013481
G0459,1.79813,0.83636,0.028317
G0460,4.02489,2.01267,0.034209
G0461,3.99076,0.82386,0.058049
G0462,0.12211,0.13024,0.016798
G0463,3.07371,1.69273,0.055790
G0464,0.35725,0.21391,0.026361
G0465,1.20953,0.20421,0.025791
G0466,1.01480,0.23249,0.041120
G0467,0.83990,0.70570,0.025670
G0468,1.21448,0.90550,0.042215
G0469,1.43181,0.43698,0.033239
G0470,2.54702,0.91075,0.042492
G0471,3.27892,1.11263,0.042261
G0472,0.76255,0.53319,0.037652
G0473,0.40755,0.15548,0.017873
G0474,0.20670,0.14527,0.020942
G0475,5.82991,2.63136,0.058609
G0476,7.14538,1.03336,0.043427
G0477,13.79257,2.64090,0.068576
G0478,3.96363,1.29858,0.058455
G0479,3.10500,1.03681,0.054581
G0480,1.37204,1.02279,0.023891
G0481,3.68420,0.36570,0.052051
G0482,0.72386,0.65380,0.022584
G0483,0.26545,0.44039,0.033685
G0484,10.45328,3.41416,0.053127
G0485,12.37833,1.89591,0.064916
G0486,1.06275,0.89930,0.029726
G0487,9.93832,1.71511,0.045850
G0488,0.25720,0.21390,0.023733
G0489,0.57823,0.27941,0.045490
G0490,3.74144,0.87596,0.036935
G0491,1.70902,0.64536,0.032587
G0492,0.38632,0.38847,0.013721
G0493,1.44885,0.76906,0.034113
G0494,4.10496,1.78053,0.053307
G0495,1.11723,0.43086,0.018009
G0496,0.68487,0.17208,0.010829
G0497,0.17133,0.18994,0.025730
G0498,0.48622,0.22683,0.018816
G0499,8.32311,2.69310,0.071209
G0500,0.17859,0.31041,0.021074
G0501,1.67667,1.27678,0.051502
G0502,2.52279,0.39012,0.023804
G0503,2.98345,1.22748,0.021788
G0504,4.96141,2.44749,0.062106
G0505,2.48570,0.97630,0.035506
G0506,4.57885,1.62630,0.052760
G0507,2.11803,1.68529,0.055745
G0508,1.09349,0.27946,0.026957
G0509,4.50359,0.92966,0.036405
G0510,0.88575,0.88656,0.050993
G0511,1.16560,1.13353,0.042319
G0512,0.62517,0.28441,0.019850
G0513,1.11465,0.60616,0.042265
G0514,0.26754,0.52317,0.026278
G0515,0.67017,0.57064,0.031643
G0516,0.72861,0.23989,0.016081
G0517,1.41681,0.34859,0.017431
G0518,0.82005,0.55254,0.037595
G0519,5.42186,1.87423,0.032495
G0520,4.26537,1.24809,0.036926
G0521,1.53977,0.73715,0.021473
G0522,0.55829,0.39775,0.030987
G0523,0.68822,0.45150,0.036298
G0524,0.69450,0.64144,0.021012
G0525,0.39350,0.68328,0.027947
G0526,5.57049,1.18124,0.071386
G0527,2.13509,0.73868,0.042847
G0528,0.70677,0.20767,0.018447
G0529,0.47628,0.82650,0.030499
G0530,2.73903,1.05352,0.032508
G0531,6.07089,2.37851,0.039011
G0532,0.16664,0.13700,0.013368
G0533,4.30104,3.88891,0.068887
G0534,0.60176,0.45932,0.024765
G0535,0.22343,0.77802,0.025414
G0536,2.53584,0.40731,0.023503
G0537,1.32676,0.26438,0.029768
G0538,15.00479,1.82633,0.051740
G0539,1.59204,0.50840,0.017655
G0540,1.02353,0.80636,0.023031
G0541,7.35107,1.65759,0.050051
G0542,2.06342,0.68683,0.037357
G0543,7.75314,2.46898,0.049346
G0544,0.56536,0.44711,0.036300
G0545,7.81763,1.58887,0.085907
G0546,13.83817,2.94047,0.078622
G0547,0.56164,0.36698,0.040221
G0548,0.39351,0.43365,0.017486
G0549,6.95842,0.99784,0.055614
G0550,5.24898,0.71044,0.058012
G0551,1.40727,0.78634,0.032805
G0552,6.25300,1.35280,0.041766
G0553,0.41181,0.20999,0.011255
G0554,0.45087,0.33277,0.025899
G0555,0.94025,0.35372,0.018452
G0556,0.97715,0.21031,0.018980
G0557,4.91150,2.23547,0.041727
G0558,0.53475,0.37163,0.025210
G0559,0.78218,0.30373,0.027347
G0560,0.43162,0.43966,0.021605
G0561,0.44146,0.46143,0.019287
G0562,1.89992,1.06174,0.034112
G0563,1.12808,0.79592,0.038133
G0564,4.66618,1.38990,0.050609
G0565,1.11776,0.70340,0.047553
G0566,0.79065,0.48259,0.027661
G0567,1.94999,1.06156,0.061850
G0568,3.49837,4.51592,0.065502
G0569,1.29335,0.74179,0.032288
G0570,10.90319,3.20961,0.083243
G0571,0.29877,0.33246,0.021090
G0572,7.71366,2.38099,0.074939
G0573,0.90029,0.21827,0.019868
G0574,7.25346,0.58012,0.029448
G0575,2.60581,1.58263,0.055078
G0576,1.86100,0.63427,0.064391
G0577,0.87382,0.49581,0.027823
G0578,0.37896,0.14847,0.015666
G0579,0.70801,0.46802,0.038351
G0580,0.44944,0.43597,0.033169
G0581,6.79940,2.09292,0.049465
G0582,0.21388,0.38662,0.017606
G0583,3.72789,0.68908,0.029497
G0584,4.12550,2.19251,0.039072
G0585,1.24643,0.95272,0.019161
G0586,12.32212,1.38022,0.021295
G0587,2.55805,0.48643,0.056087
G0588,0.94988,0.45574,0.036319
G0589,0.51317,0.28776,0.027250
G0590,0.96599,1.01539,0.024449
G0591,1.16489,0.41134,0.022750
G0592,0.77773,0.27056,0.017894
G0593,0.47774,0.20800,0.015862
G0594,0.46508,0.58987,0.022328
G0595,5.11320,2.58223,0.049928
G0596,2.45683,0.52216,0.057060
G0597,1.24208,0.52488,0.028381
G0598,0.32102,0.37497,0.024423
G0599,0.83423,0.84228,0.036445
G0600,2.68679,0.98855,0.050808
G0601,0.74425,0.48754,0.021098
G0602,0.22197,0.13870,0.015549
G0603,13.51841,2.28521,0.062946
G0604,6.43764,1.15402,0.064169
G0605,3.87819,1.42920,0.055341
G0606,7.04014,1.72182,0.042529
G0607,1.29178,0.71102,0.025762
G0608,4.87860,1.69547,0.081707
G0609,6.02153,0.98400,0.045162
G0610,1.23395,0.36682,0.041071
G0611,3.81072,3.10949,0.082698
G0612,0.38790,0.37734,0.035798
G0613,1.07661,0.84794,0.055208
G0614,4.17059,1.58056,0.040800
G0615,0.57909,0.52173,0.025727
G0616,5.68598,1.33333,0.046033
G0617,1.18015,0.42353,0.030628
G0618,0.74615,0.35308,0.024668
G0619,5.50785,2.69087,0.038701
G0620,0.21635,0.14637,0.029591
G0621,0.98186,1.20068,0.034562
G0622,0.43748,0.47771,0.040740
G0623,2.70480,0.96065,0.029130
G0624,0.41188,0.39767,0.019064
G0625,1.18019,0.71700,0.056629
G0626,1.27441,1.15041,0.023871
G0627,2.11484,1.21786,0.029257
G0628,0.19838,0.19822,0.018630
G0629,0.75673,0.78172,0.046986
G0630,5.15932,1.40685,0.063032
G0631,6.45054,1.56790,0.066289
G0632,3.93996,0.92653,0.032628
G0633,0.48852,0.47688,0.014279
G0634,1.64172,0.64881,0.044109
G0635,1.69289,0.74199,0.084732
G0636,1.07777,0.64126,0.043393
G0637,8.93773,1.66217,0.066158
G0638,4.42295,0.57790,0.040795
G0639,1.24446,0.55840,0.026221
G0640,1.43720,0.74006,0.036105
G0641,0.17063,0.21129,0.012351
G0642,1.37933,1.93791,0.032191
G0643,1.20252,0.62413,0.041430
G0644,2.27270,2.45325,0.063065
G0645,2.76657,1.30846,0.051507
G0646,5.95081,0.69262,0.038432
G0647,0.69314,0.49520,0.020239
G0648,1.12868,0.62432,0.021104
G0649,0.62631,1.19044,0.021042
G0650,1.54320,0.61330,0.027366
G0651,0.40879,0.37471,0.010780
G0652,11.56637,4.72081,0.050944
G0653,5.50595,1.42301,0.049651
G0654,1.85519,0.54901,0.027003
G0655,3.07132,2.45322,0.049601
G0656,2.27089,1.82169,0.034595
G0657,1.47669,0.36965,0.037524
G0658,2.95955,1.32732,0.043116
G0659,0.42779,0.16472,0.018044
G0660,0.30016,0.54316,0.022829
G0661,3.43444,1.04235,0.046172
G0662,0.47579,0.32543,0.021555
G0663,2.20258,1.21790,0.072707
G0664,1.42102,0.44387,0.014870
G0665,0.61614,0.87531,0.036276
G0666,0.53616,0.18001,0.018745
G0667,0.29709,0.39414,0.023732
G0668,3.84346,1.65230,0.058063
G0669,0.96563,0.79701,0.014070
G0670,3.76036,2.64721,0.038290
G0671,2.43654,1.27364,0.029398
G0672,0.21233,0.46099,0.018476
G0673,0.94510,1.01323,0.040654
G0674,0.83241,0.81922,0.045971
G0675,3.20094,0.55938,0.053427
G0676,0.67304,0.43788,0.024725
G0677,0.38633,0.37912,0.023321
G0678,0.76050,0.45827,0.015878
G0679,1.65875,0.22128,0.014993
G0680,7.62209,0.96431,0.048960
G0681,1.23988,0.92053,0.022483
G0682,2.31268,0.66454,0.028778
G0683,0.16175,0.23146,0.030478
G0684,12.04614,3.22114,0.072306
G0685,0.74969,0.85667,0.018141
G0686,2.83804,1.44495,0.036375
G0687,0.99901,0.96873,0.044373
G0688,4.78330,0.97320,0.041419
G0689,0.97928,0.57767,0.020717
G0690,1.44434,0.63737,0.022926
G0691,0.31766,0.24918,0.025125
G0692,3.33224,1.38445,0.092474
G0693,3.59458,1.05381,0.031627
G0694,1.06768,0.64623,0.022537
G0695,1.94013,0.62036,0.051901
G0696,0.15529,0.13455,0.014005
G0697,0.70163,0.27213,0.025160
G0698,4.59302,1.09644,0.040176
G0699,1.79502,1.26704,0.029943
G0700,0.44548,0.27922,0.026793
G0701,1.81966,1.59694,0.023644
G0702,3.24105,0.61996,0.041630
G0703,0.96182,0.70147,0.028652
G0704,3.98950,1.75082,0.054834
G0705,5.26690,0.89632,0.032218
G0706,4.83395,1.29415,0.045881
G0707,2.41799,2.13666,0.037856
G0708,2.03504,0.62328,0.011560
G0709,0.94822,0.36680,0.028263
G0710,3.21831,2.22509,0.051145
G0711,1.59240,0.54508,0.016115
G0712,4.20536,0.81231,0.035501
G0713,6.23543,2.07682,0.057719
G0714,8.53588,1.57323,0.066416
G0715,4.35961,1.56915,0.068337
G0716,11.77108,3.15097,0.055664
G0717,3.56959,0.36921,0.023517
G0718,1.43676,0.32585,0.017417
G0719,0.82452,0.30390,0.032503
G0720,2.74469,0.64531,0.033530
G0721,1.69451,1.16151,0.064071
G0722,1.03488,0.65048,0.023499
G0723,1.07991,0.66972,0.053067
G0724,5.54109,3.94618,0.052952
G0725,0.50700,0.23549,0.012020
G0726,0.61105,0.16464,0.024259
G0727,3.70392,1.77386,0.051656
G0728,1.74505,0.75343,0.034068
G0729,3.36925,1.16266,0.060773
G0730,3.78473,1.05533,0.028741
G0731,0.45187,0.33688,0.023982
G0732,0.52327,0.29134,0.019130
G0733,6.10205,1.83031,0.084569
