case_id,sza,vza,raa,wind,aerosol,aod865,chl,tsm,acdom440
G0073,52.7084,2.9950,60.4374,3.0545,M95C,0.14195,1.32779,1.98665,0.032787
G0074,42.4157,30.4919,90.9605,4.0201,M98C,0.20707,1.86023,2.22722,0.055487
G0075,34.9865,36.3011,5.5594,5.2085,M80C,0.19808,0.43896,2.36464,0.046776
G0076,27.6210,54.9085,83.3555,2.1115,M80C,0.12267,1.76058,2.43878,0.043713
G0077,33.6743,44.4807,45.6095,7.6443,O99,0.26561,0.30741,0.35611,0.027931
G0078,55.1110,12.9555,15.3152,2.2340,M80C,0.28187,1.56196,1.71523,0.072673
G0079,48.5689,9.8459,37.4854,4.2607,M80C,0.13516,0.30549,0.49244,0.027471
G0080,1.8793,40.5803,42.0101,2.8142,O99,0.12637,0.43502,0.73234,0.029913
G0081,43.6965,50.6347,130.1219,2.6583,O99,0.18655,0.49329,0.43991,0.034421
G0082,61.3173,47.1769,119.0833,9.9389,T50,0.08101,2.73741,7.39481,0.044993
G0083,43.0710,7.5213,25.2904,2.2541,O99,0.06429,1.39456,2.71547,0.057039
G0084,62.3584,38.6492,109.9912,9.9035,M80C,0.13105,0.62936,7.28420,0.029697
G0085,25.8665,17.4685,2.8502,3.5871,O99,0.20077,0.98124,4.14714,0.061625
G0086,61.4746,33.0153,104.3245,1.4825,O99,0.29618,0.97820,8.12494,0.036322
G0087,38.9398,42.3550,88.6706,9.2912,M80C,0.16818,0.18836,2.20753,0.024733
G0088,39.8472,21.1533,15.2490,5.6495,M95C,0.26740,0.30749,2.25661,0.042608
G0089,59.7679,20.9274,64.2550,7.4476,O99,0.14440,2.12521,3.39843,0.035659
G0090,39.6386,20.5202,83.4313,1.5778,C50,0.18052,0.85025,2.55459,0.042961
G0091,49.4168,25.6004,13.3329,5.7161,M80C,0.17650,0.19625,0.27810,0.024694
G0092,63.5510,49.3069,11.7058,9.3374,M95C,0.05355,1.59087,6.30596,0.056029
G0093,62.3303,0.2370,150.0751,9.7953,M95C,0.29805,0.44350,0.58472,0.018136
G0094,58.7739,32.1896,14.5762,5.4671,M80C,0.08864,2.03144,6.09025,0.056158
G0095,36.3176,40.9601,83.5762,7.5819,T50,0.25371,0.43689,0.70247,0.029575
G0096,20.2215,46.8354,14.3173,9.0834,O99,0.12542,0.26526,0.43234,0.016037
G0097,30.7860,40.7382,5.1120,5.6224,M95C,0.15513,0.28877,0.25560,0.011118
G0098,30.5450,25.4498,40.6219,2.5468,C50,0.07092,1.42261,2.56133,0.029274
G0099,39.7284,21.1214,50.2852,1.4605,M80C,0.11534,0.84601,1.30828,0.035229
G0100,48.4868,44.2376,107.1261,9.8535,O99,0.20250,1.08395,2.00264,0.054872
G0101,56.2440,31.5618,31.0985,5.7671,M98C,0.20238,0.92445,1.38991,0.015159
G0102,22.1328,45.4483,78.7668,1.1850,M95C,0.29221,0.45325,0.34142,0.020946
G0103,61.7313,19.7832,137.1314,2.6929,M80C,0.29624,0.56952,0.51113,0.016570
G0104,57.1061,27.5944,58.3830,6.8120,M95C,0.14189,0.61281,0.61034,0.011035
G0105,41.7763,49.0602,0.0007,8.5285,M95C,0.05086,0.46645,0.75227,0.018540
G0106,48.8107,18.8508,92.4629,1.6868,T50,0.19193,0.65296,0.60402,0.029198
G0107,55.6395,34.6001,46.9325,3.7159,M80C,0.11426,0.29210,0.12696,0.012476
G0108,28.2177,35.7184,47.0368,3.2884,M95C,0.27458,1.28473,5.34321,0.030743
G0109,61.9035,41.2036,15.3381,5.8539,T50,0.05530,1.67130,5.21215,0.026395
G0110,25.0607,32.8161,31.3620,5.1601,C50,0.07547,1.15540,4.68101,0.039845
G0111,42.5643,11.5563,9.7427,6.2507,O99,0.06549,0.72626,0.69564,0.043580
G0112,64.4809,30.6979,91.0476,7.0169,M98C,0.19498,0.28834,0.26296,0.026219
G0113,48.7009,53.0874,101.4564,3.2808,M98C,0.12006,0.75308,2.97942,0.035533
G0114,64.0134,48.7732,27.6809,8.3657,T50,0.10060,1.09094,2.47623,0.027018
G0115,36.3785,16.1223,2.8570,4.2555,M95C,0.26247,1.55670,1.85004,0.031466
G0116,32.6472,40.3171,61.8090,3.8134,M80C,0.28699,3.50293,5.67334,0.075434
G0117,43.6510,48.5540,112.1367,5.8835,M98C,0.19978,2.73553,6.67410,0.069231
G0118,45.9990,11.3899,33.4985,6.0747,M95C,0.22282,1.08731,3.10349,0.045842
G0119,53.9965,50.2127,99.5672,7.2669,M80C,0.23565,0.55153,1.05934,0.025834
G0120,58.3830,52.4852,66.3892,4.6131,M95C,0.28757,0.31676,0.26448,0.019049
G0121,58.2995,27.6392,96.3484,6.6889,O99,0.28828,0.92937,2.15331,0.040757
G0122,44.2601,36.2194,100.6066,4.6769,M98C,0.07760,0.67316,1.68363,0.036759
G0123,50.9641,24.6384,79.7093,4.1903,M80C,0.11223,0.16918,0.96421,0.016549
G0124,31.5889,47.1545,102.1798,4.7503,C50,0.25630,1.48389,3.36380,0.045556
G0125,40.0851,36.6140,56.0391,2.2636,C50,0.22178,0.20957,0.10184,0.013984
G0126,40.5299,14.5876,41.1246,1.0551,M98C,0.26775,0.26300,1.25976,0.020962
G0127,50.9030,25.1648,37.9160,4.9042,M80C,0.06442,0.90824,0.93058,0.022817
G0128,34.0781,39.3837,102.9106,5.7197,T50,0.21753,0.36913,3.12385,0.032401
G0129,32.3198,29.1049,50.9396,5.5490,O99,0.16553,0.15791,0.34008,0.011914
G0130,56.3473,45.4029,12.0999,1.6232,O99,0.09498,0.94193,0.99263,0.040594
G0131,60.2664,35.8701,98.4263,7.0314,T50,0.23260,0.77101,1.35634,0.043626
G0132,43.5371,52.9212,103.2864,1.6556,M95C,0.18184,1.84410,4.36189,0.056754
G0133,53.4084,1.1808,13.2749,1.6102,C50,0.14902,0.40686,0.54325,0.029223
G0134,55.7329,52.1237,94.7516,5.2530,M80C,0.16356,1.18987,9.57465,0.064055
G0135,47.3848,0.2057,114.8502,3.8404,O99,0.25014,1.08338,1.95723,0.044570
G0136,51.6418,10.8714,21.0573,3.7430,M80C,0.11272,1.31079,2.72988,0.021205
G0137,48.5578,35.5966,98.0704,9.9449,M98C,0.29975,3.85236,4.85642,0.074633
G0138,23.3854,49.5299,93.9624,2.2253,T50,0.27651,1.07573,1.93222,0.029173
G0139,51.2330,15.6827,15.6847,3.7079,M80C,0.21629,1.17711,1.32007,0.041002
G0140,50.8012,46.5429,85.5658,7.0233,T50,0.10622,1.30759,1.69230,0.025970
G0141,51.5368,38.5697,80.6819,7.4490,C50,0.24105,2.26064,4.73412,0.047519
G0142,59.3963,3.1072,64.7165,2.5504,M98C,0.20646,0.23483,0.26783,0.013504
G0143,20.0358,36.7842,61.2188,3.4503,O99,0.21433,0.15992,0.56709,0.027540
G0144,43.8005,52.9392,51.3933,1.6885,M80C,0.14925,2.00850,11.29716,0.055094
G0145,64.9284,53.0262,140.7140,1.6731,M98C,0.07106,0.55467,1.68550,0.033814
G0146,61.2097,40.0213,116.5767,9.9742,M98C,0.20221,1.28381,2.98440,0.049963
G0147,46.0797,30.6673,61.1389,7.0435,M80C,0.11814,0.32359,1.06049,0.032746
G0148,49.8532,32.7811,107.6779,3.2531,M98C,0.26013,0.75428,0.73855,0.015404
G0149,23.7809,32.6973,0.7841,1.8041,M98C,0.11196,0.66779,1.06071,0.034349
G0150,58.2727,4.9802,169.0764,6.1744,M80C,0.08041,2.45933,5.42555,0.056360
G0151,33.0891,46.8233,12.5325,8.4653,O99,0.19012,0.28484,0.82164,0.022548
G0152,55.8152,48.9987,34.5996,6.1967,T50,0.13356,0.29095,0.69898,0.018567
G0153,24.3383,21.9008,3.5030,3.3789,O99,0.20278,2.13917,11.13555,0.070052
G0154,26.1250,27.4806,58.9045,1.2147,M80C,0.29933,0.99445,1.95081,0.025026
G0155,58.1576,24.1747,91.0022,6.6475,O99,0.10357,2.21991,4.39485,0.059374
G0156,12.2532,42.6840,16.9793,2.7912,C50,0.19103,0.41523,1.08954,0.020198
G0157,60.7682,3.7287,78.0545,3.0203,C50,0.07774,0.64177,0.94895,0.027052
G0158,51.4375,28.0724,8.8478,8.1013,M80C,0.24419,0.54751,0.95874,0.026182
G0159,64.2789,23.7129,34.0168,5.5006,T50,0.21931,1.16797,6.99960,0.072548
G0160,58.7388,34.3474,50.4179,6.0043,O99,0.20896,0.49274,1.24745,0.020924
G0161,8.5796,48.0549,15.2976,5.6997,M95C,0.07897,0.65015,1.72532,0.033850
G0162,24.8785,32.5408,42.7489,2.5484,M95C,0.08287,0.39454,1.13481,0.016390
G0163,51.9346,2.8512,48.1222,1.7560,C50,0.26542,1.51840,10.71072,0.073101
G0164,52.2198,24.4749,8.1635,5.1128,M98C,0.11408,1.80436,4.11502,0.046209
G0165,52.7899,48.0718,70.3522,9.2224,T50,0.10954,1.32068,6.04627,0.054748
G0166,48.2213,16.5973,18.4051,7.3718,C50,0.15567,0.58749,2.33605,0.048857
G0167,18.9501,49.4586,48.9475,5.0716,M95C,0.14403,4.49614,7.61113,0.057447
G0168,49.4145,25.2195,43.8010,7.1832,T50,0.14464,0.87499,1.27121,0.063075
G0169,63.4975,36.7918,23.9534,9.4601,M95C,0.10851,0.93981,4.20123,0.027634
G0170,44.4142,25.0983,73.8166,9.1866,M80C,0.08130,0.10561,0.18067,0.026153
G0171,40.6376,49.9437,22.6929,9.3384,M98C,0.13972,0.57871,1.51507,0.019098
G0172,52.3341,53.4788,48.2670,5.7843,M98C,0.27081,2.17291,6.31294,0.053416
G0173,28.9054,47.6205,34.0796,6.5817,C50,0.12010,0.47818,0.78222,0.027190
G0174,19.2765,46.9239,65.4541,7.1406,M80C,0.09623,0.16663,0.28146,0.019742
G0175,51.9700,44.8054,9.8155,6.2325,O99,0.12205,3.15571,13.05345,0.095705
G0176,10.6776,50.3937,11.8606,8.1097,T50,0.13432,0.82014,2.53953,0.048476
G0177,42.8026,53.3322,7.8077,2.1297,M80C,0.21289,0.53361,0.33757,0.021239
G0178,30.6000,48.7215,67.3206,4.0886,M80C,0.18071,1.86003,3.42439,0.039398
G0179,61.0524,6.9768,49.3004,5.2624,O99,0.13992,1.07123,2.66478,0.036763
G0180,48.5238,45.5347,43.9321,6.3660,T50,0.06185,1.36772,1.96983,0.023473
G0181,4.2726,31.8285,7.5467,1.6982,O99,0.27070,0.68593,3.62947,0.027381
G0182,59.0277,5.9607,33.9538,7.6186,C50,0.29803,0.26202,0.19584,0.017619
G0183,40.8013,44.9758,67.1833,9.9167,T50,0.05022,0.81786,1.09253,0.037154
G0184,14.7844,45.6929,104.3352,3.7759,T50,0.23212,1.76815,2.48156,0.077637
G0185,59.2738,23.1112,166.1127,1.2161,T50,0.28246,0.39892,1.36107,0.027502
G0186,64.8105,2.4805,7.7137,7.1092,O99,0.19441,1.63667,2.67499,0.037478
G0187,45.9183,44.2049,17.6536,9.4870,M98C,0.12262,0.17619,0.61856,0.014419
G0188,49.4559,22.4553,19.6153,8.9667,M80C,0.10730,0.68344,0.91123,0.025692
G0189,47.2536,11.9863,8.8169,7.8138,C50,0.07502,0.37567,0.46446,0.020788
G0190,30.4909,34.4340,32.8434,4.3258,M95C,0.19905,0.87410,0.38445,0.024144
G0191,56.6586,14.3109,47.9438,4.6635,T50,0.13904,0.32771,0.34901,0.027632
G0192,18.7066,45.1431,52.5218,8.5109,M95C,0.07846,0.79778,2.05274,0.036711
G0193,30.3780,46.2955,55.5367,4.5202,O99,0.22931,0.85509,0.97194,0.021754
G0194,52.0734,3.4710,103.3778,3.2943,M98C,0.13626,0.81381,1.14348,0.022933
G0195,45.7782,49.1522,100.2412,6.9595,M95C,0.06595,0.71142,0.53416,0.023310
G0196,41.8995,25.9483,4.8296,7.7663,M95C,0.10876,0.45211,0.35096,0.022192
G0197,28.7131,29.6615,33.7952,1.0206,T50,0.17670,0.67660,1.83395,0.034400
G0198,38.2552,28.4122,16.6495,7.5960,T50,0.10353,0.37586,0.80104,0.021437
G0199,50.2613,48.4487,119.6436,4.7694,C50,0.15853,0.48246,0.99053,0.015509
G0200,61.5297,20.2032,112.7828,8.5275,C50,0.18513,0.36391,0.62712,0.027416
G0201,44.7860,26.2157,71.9574,8.6639,M80C,0.19338,0.13389,0.14228,0.013982
G0202,24.7786,47.0637,67.5528,7.7074,C50,0.24130,1.87420,0.90077,0.038873
G0203,60.6232,39.8482,43.9033,3.8412,O99,0.08635,0.70706,0.51563,0.040026
G0204,62.7089,54.1069,130.2837,4.8511,C50,0.20079,0.70994,3.02904,0.063329
G0205,30.1949,39.3339,11.1340,6.2541,M80C,0.16972,0.43603,1.10548,0.025306
G0206,61.4245,39.2871,11.8323,8.9374,T50,0.28599,0.51791,0.28169,0.027879
G0207,36.1331,11.6875,75.2964,1.0818,M98C,0.05248,0.18965,0.50770,0.011850
G0208,23.8005,51.4967,82.3663,3.3949,M80C,0.07866,0.68545,1.87353,0.037158
G0209,52.1400,11.6727,144.2575,2.0026,M98C,0.16646,0.79414,0.97709,0.021638
G0210,56.2540,43.3556,79.9131,9.3416,O99,0.05191,0.41574,0.31581,0.016868
G0211,51.4152,31.2812,40.7698,5.4571,T50,0.22983,0.86277,0.65836,0.025671
G0212,34.0786,30.3560,29.5462,8.8397,M95C,0.23345,0.34292,0.29353,0.020826
G0213,48.0074,24.5952,23.8564,7.7626,O99,0.28252,1.68529,4.17494,0.051521
G0214,43.6899,18.0234,43.5834,8.8358,O99,0.14674,0.60810,2.86574,0.052766
G0215,55.7349,25.4501,54.1445,4.6845,M95C,0.21307,4.11760,10.83861,0.056127
G0216,35.1154,10.7793,12.4652,1.1301,M98C,0.12133,0.87739,1.29661,0.036209
G0217,54.4436,42.9367,11.5698,8.4772,M80C,0.10694,2.30794,11.57119,0.058752
G0218,36.6842,10.9926,6.2254,1.3642,M98C,0.16109,0.76492,0.65760,0.019207
G0219,48.8442,6.5287,132.6676,4.1077,T50,0.08945,1.06523,3.25088,0.043730
G0220,60.0137,16.4785,16.4703,3.0992,M80C,0.24567,1.15575,2.41203,0.051279
G0221,24.6124,39.5325,61.6710,8.3160,C50,0.25914,1.74443,14.82205,0.034182
G0222,58.0161,34.7731,106.0091,7.3978,M80C,0.17060,0.48486,0.76051,0.015258
G0223,44.1741,45.8000,25.1250,7.5208,C50,0.09446,0.58035,0.23637,0.023365
G0224,26.2196,31.2853,95.3158,3.2970,C50,0.18876,0.75190,1.32297,0.031051
G0225,37.0556,38.8432,21.2749,4.5331,M95C,0.16034,0.98907,2.27707,0.039056
G0226,24.0622,44.1004,27.1536,3.3545,O99,0.14158,0.53733,0.55936,0.025647
G0227,44.4218,26.8122,31.1550,9.3830,M80C,0.11758,0.14404,0.14105,0.018224
G0228,62.8611,20.1535,104.4277,8.1117,M95C,0.19254,0.53399,2.94151,0.041728
G0229,5.3412,54.4226,107.0163,5.3292,M98C,0.10310,1.05675,2.43922,0.033456
G0230,46.6007,47.4104,21.2193,9.0457,T50,0.06748,0.31422,0.43620,0.023403
G0231,64.8428,45.9966,17.0714,8.0544,M95C,0.10445,0.43867,0.32405,0.021620
G0232,50.7465,10.9249,53.7419,7.1882,C50,0.29944,0.27372,0.32618,0.018515
G0233,62.6303,19.1435,87.9794,2.5326,O99,0.16196,1.22754,6.79740,0.028199
G0234,32.1090,38.0351,12.3606,9.7657,C50,0.28048,4.46384,5.85544,0.053270
G0235,59.5765,19.0530,78.3404,9.6212,O99,0.20129,3.68954,17.39535,0.052874
G0236,14.8980,49.6036,81.7894,3.6028,M95C,0.28838,1.07639,1.83399,0.033456
G0237,52.2304,37.3896,64.9450,8.8330,O99,0.07853,3.55711,15.51234,0.051280
G0238,17.1514,45.6906,20.2853,9.4354,C50,0.28895,0.60582,1.23716,0.031171
G0239,42.3944,17.9543,50.8764,7.5827,O99,0.27720,0.33860,0.84518,0.036543
G0240,62.5560,6.0219,97.0806,5.8079,C50,0.25149,1.54284,3.46479,0.046909
G0241,2.7920,45.8884,11.0351,1.6394,M95C,0.12140,0.33703,0.34847,0.036598
G0242,45.7947,9.7680,15.0815,3.9384,M80C,0.08029,0.45584,0.76936,0.024055
G0243,64.0650,45.8415,26.2049,5.4808,M98C,0.16194,0.34886,0.56888,0.023246
G0244,54.8181,0.8131,31.9388,1.9959,C50,0.23048,0.53037,0.59757,0.039150
G0245,48.1326,41.6691,113.5412,5.8881,M98C,0.15703,0.43101,1.03491,0.040913
G0246,56.9786,51.5586,131.0355,4.4343,M80C,0.08179,0.20795,0.89806,0.013078
G0247,61.7373,42.6438,3.3545,8.7344,M80C,0.27667,0.41927,1.39664,0.034044
G0248,54.9202,54.8898,75.1867,1.9180,M95C,0.14587,0.86599,2.60405,0.033033
G0249,53.1916,19.9246,68.4471,1.8076,O99,0.17584,0.32671,0.86155,0.013957
G0250,31.9466,50.4155,78.8985,7.1262,C50,0.10809,2.42036,11.13667,0.054807
G0251,52.0593,33.1582,78.3098,9.0057,O99,0.13577,0.66399,1.75659,0.030941
G0252,59.9495,40.5899,74.3113,8.0810,O99,0.17728,0.74031,1.18699,0.029466
G0253,33.8339,54.9857,43.3869,6.3990,T50,0.08631,0.37489,0.21068,0.023347
G0254,31.8163,29.9456,1.4579,7.8148,M98C,0.16562,3.76722,4.96429,0.041198
G0255,50.7560,13.5906,24.4847,9.5061,M98C,0.18420,0.49755,0.80005,0.017028
G0256,52.2808,46.3947,13.9740,9.6520,M80C,0.13606,1.17680,0.81876,0.022947
G0257,58.9776,47.0089,50.8111,9.8282,C50,0.17555,0.19864,0.50479,0.014587
G0258,12.6529,52.9243,17.6363,9.4968,O99,0.27014,3.01142,3.17043,0.043185
G0259,5.6779,39.1516,129.9696,2.1332,C50,0.29108,0.69216,1.61811,0.032920
G0260,55.7381,45.8482,44.8065,8.1096,T50,0.14630,0.10279,0.12083,0.012372
G0261,55.7915,14.8855,93.5490,5.2981,C50,0.26644,0.26875,0.68274,0.043461
G0262,30.1951,43.4482,81.5976,7.5272,M80C,0.22691,2.01303,9.18154,0.085886
G0263,24.9869,50.0203,29.9850,9.4475,C50,0.21393,0.90556,1.21193,0.032594
G0264,45.9759,2.4548,35.0051,4.3993,T50,0.24492,0.12901,0.21686,0.021711
G0265,36.4505,22.4976,58.7555,6.9031,C50,0.24125,0.24786,0.85200,0.011040
G0266,49.2381,33.1318,96.7357,2.5145,M80C,0.28342,0.26151,4.77299,0.047302
G0267,47.0921,21.1175,16.3325,1.3257,C50,0.27496,0.23819,0.71260,0.029383
G0268,35.3046,29.3689,2.9865,2.9456,M80C,0.19600,2.99466,6.57800,0.080699
G0269,50.8632,26.4663,25.0595,9.8055,M80C,0.29152,2.05434,1.99433,0.031343
G0270,34.1931,42.9812,38.2442,4.1396,T50,0.20631,2.41200,6.08635,0.045524
G0271,38.6927,47.8465,13.2550,3.8277,O99,0.21994,0.27960,0.24658,0.011672
G0272,62.0096,45.9947,29.6394,3.0662,M98C,0.21788,3.29370,8.48949,0.071028
G0273,55.5900,41.0713,113.6549,6.6947,M95C,0.22991,1.16865,3.36831,0.042527
G0274,62.3699,14.0069,113.2051,3.2910,C50,0.15993,0.39625,1.28755,0.045277
G0275,61.3028,16.0257,25.8223,8.3951,M98C,0.22635,0.26623,1.01945,0.021075
G0276,49.6276,0.3451,41.0924,4.9338,M80C,0.18508,0.93356,2.93031,0.042516
G0277,59.2875,32.9668,2.1244,8.3020,O99,0.20960,1.52977,3.86880,0.084195
G0278,7.2702,22.6537,18.7997,1.0426,M80C,0.07633,4.57617,18.21357,0.077377
G0279,63.1064,19.3725,178.7931,2.6191,M95C,0.29012,1.58777,0.87109,0.046293
G0280,21.2810,53.3575,83.9686,9.6858,T50,0.10479,0.81678,2.87293,0.034738
G0281,27.4714,52.3250,64.6661,9.5089,T50,0.17507,0.35064,1.52911,0.032410
G0282,46.6392,14.4053,6.6543,9.8904,O99,0.14933,2.80843,3.76923,0.048788
G0283,7.0883,50.1842,10.6532,6.4476,M80C,0.18609,0.36746,0.51306,0.017678
G0284,60.9200,11.9458,107.7576,3.4946,C50,0.06745,2.05350,4.42841,0.041845
G0285,39.9957,19.9540,69.2935,3.6085,M80C,0.22728,0.60700,3.09438,0.026808
G0286,61.6062,45.2529,27.5903,8.3111,O99,0.23631,0.44639,0.97715,0.023923
G0287,51.2370,11.0710,68.2260,3.9900,T50,0.26583,0.68591,0.57610,0.027460
G0288,48.4480,25.0435,44.8608,8.3689,M98C,0.22675,0.24196,1.28769,0.013778
G0289,29.1106,40.6031,13.5893,5.1947,M98C,0.15855,0.19562,0.39258,0.019193
G0290,60.2542,43.3305,124.2556,4.7619,M80C,0.16144,0.39160,0.50121,0.023177
G0291,63.5183,46.0627,23.6781,9.9716,M95C,0.10463,1.27364,6.76293,0.082447
G0292,43.9886,23.1780,65.1653,7.8670,M95C,0.14699,0.37220,0.60535,0.013046
G0293,33.8124,4.4245,7.1559,1.9746,M95C,0.09022,0.28276,0.85337,0.028206
