case_id,sza,vza,raa,wind,aerosol,aod865,chl,tsm,acdom440
G0792,8.9561,54.7399,21.5776,2.1999,M95C,0.15094,2.25593,6.23047,0.056374
G0800,21.4654,39.7954,24.7147,6.4470,C50,0.21815,0.43355,0.54298,0.015581
G0807,43.9337,37.2451,1.2645,3.4243,M98C,0.12720,0.32275,1.25216,0.012482
G0820,40.7950,37.6874,69.3306,4.3973,T50,0.28056,3.07079,8.75723,0.057465
G0821,35.1624,52.0828,75.9925,9.1450,T50,0.13628,1.10114,3.81105,0.029500
G0829,52.1699,16.3252,16.4931,3.6444,M80C,0.15536,1.02658,1.03420,0.061847
G0857,11.2775,47.6285,108.1341,4.4283,O99,0.15241,0.91340,1.90304,0.025551
G0863,61.6201,42.7059,9.3431,3.5723,C50,0.09963,1.93203,4.77926,0.047052
G0868,53.8379,51.8926,23.2513,2.4451,O99,0.16550,1.57736,3.23338,0.076523
G0876,60.1705,20.0785,36.5714,1.8106,T50,0.16972,1.29208,1.62957,0.051373
G0894,44.7932,24.4043,23.8106,2.4885,M95C,0.23681,0.21647,0.79272,0.019468
G0896,40.0301,54.6916,69.7346,1.9432,M80C,0.13248,0.77208,1.87958,0.042968
G0926,33.4903,37.1269,24.6327,4.2132,C50,0.23790,0.57748,0.78105,0.017026
G0928,10.0341,54.0670,95.4591,4.6215,M95C,0.20720,1.97721,7.90434,0.082303
G0937,9.2467,37.0770,117.9542,1.0167,C50,0.11737,0.14643,0.21383,0.018171
G0938,60.9471,39.3335,81.7685,5.2328,M95C,0.20528,0.36385,0.28623,0.010931
G0944,61.8370,21.0909,21.3834,9.4678,M98C,0.16408,0.13491,0.50713,0.014238
G0948,46.4594,4.6305,84.6836,4.0810,T50,0.12336,0.95087,1.29874,0.023812
G0980,53.7468,45.5261,30.1415,8.6881,M80C,0.20041,0.65088,0.46169,0.013493
G0997,21.6832,42.0115,14.2428,9.2317,M95C,0.23324,0.59249,1.12312,0.020070
