# AFGL Standard Atmosphere: Subarctic Winter (60N Jan)
# Reference: Anderson et al. 1986, AFGL-TR-86-0110
# n_layers=46 (boundaries; layers = n-1 between consecutive z)
# columns: z_km  P_mbar  T_K  n_cm-3  mr_H2O_ppmv  mr_O3_ppmv  mr_O2_ppmv  mr_CO2_ppmv  mr_NO2_ppmv  mr_CH4_ppmv
# mr = volume mixing ratio (ppmv = parts per million by volume)
 35.00  5.74600e+00  247.050  1.68460e+17  1.65000e+00  3.79600e+00  2.09500e+05  3.95000e+02  7.00000e-03  1.80000e-01
 37.50  4.08300e+00  254.100  1.16384e+17  1.80000e+00  4.44600e+00  2.09500e+05  3.95000e+02  8.50000e-03  1.20000e-01
 40.00  2.87100e+00  262.200  7.93080e+16  1.95000e+00  5.09600e+00  2.09500e+05  3.95000e+02  9.30000e-03  8.00000e-02
 42.50  2.06000e+00  270.650  5.51285e+16  2.10000e+00  5.74600e+00  2.09500e+05  3.95000e+02  9.20000e-03  5.00000e-02
 45.00  1.49100e+00  263.150  4.10385e+16  2.25000e+00  6.39600e+00  2.09500e+05  3.95000e+02  8.30000e-03  3.50000e-02
 47.50  1.09000e+00  254.700  3.09966e+16  2.34000e+00  7.04600e+00  2.09500e+05  3.95000e+02  6.50000e-03  2.50000e-02
 50.00  7.97800e-01  247.050  2.33898e+16  2.25000e+00  7.69600e+00  2.09500e+05  3.95000e+02  4.20000e-03  1.80000e-02
 55.00  4.25000e-01  233.300  1.31944e+16  2.04000e+00  8.34600e+00  2.09500e+05  3.95000e+02  1.50000e-03  1.00000e-02
 60.00  2.19600e-01  219.700  7.23967e+15  1.80000e+00  8.34600e+00  2.09500e+05  3.94000e+02  4.50000e-04  5.00000e-03
 65.00  1.09000e-01  208.400  3.78831e+15  1.50000e+00  7.69600e+00  2.09500e+05  3.93000e+02  1.20000e-04  2.50000e-03
 70.00  5.22000e-02  198.650  1.90326e+15  1.20000e+00  6.39600e+00  2.09500e+05  3.91000e+02  3.00000e-05  1.00000e-03
 75.00  2.40000e-02  196.000  8.86894e+14  9.90000e-01  5.09600e+00  2.09500e+05  3.89000e+02  1.00000e-05  5.00000e-04
 80.00  1.05000e-02  198.650  3.82840e+14  8.10000e-01  3.79600e+00  2.09500e+05  3.87000e+02  3.00000e-06  2.50000e-04
 85.00  4.46000e-03  213.650  1.51199e+14  6.00000e-01  2.49600e+00  2.09000e+05  3.84000e+02  1.00000e-06  1.20000e-04
 90.00  1.84000e-03  232.100  5.74195e+13  4.50000e-01  1.50800e+00  2.07000e+05  3.80000e+02  3.00000e-07  6.00000e-05
 95.00  7.60000e-04  270.650  2.03387e+13  3.00000e-01  7.81300e-01  2.00000e+05  3.76000e+02  1.00000e-07  3.00000e-05
100.00  3.20000e-04  322.650  7.18348e+12  1.50000e-01  2.60000e-01  1.80000e+05  3.72000e+02  3.00000e-08  2.00000e-05
